,subject,type,neighbour,shared,key
65,Human 5,Human/Kymouse,Kymouse 3,0.7343212490076739,clone_id
66,Human 5,Human/Kymouse,Kymouse 4,0.6383964011643292,clone_id
67,Human 5,Human/Kymouse,Kymouse 5,0.5334765485141425,clone_id
68,Human 5,Human/Kymouse,Kymouse 6,0.7475522625033078,clone_id
69,Human 5,Human/Kymouse,Kymouse 7,0.5953956073035195,clone_id
70,Human 6,Human/Human,Human 7,0.5802542879085246,clone_id
71,Human 6,Human/Human,Human 8,0.6186534687260006,clone_id
72,Human 6,Human/Human,Human 9,0.5845208635549108,clone_id
73,Human 6,Human/Human,Human 10,0.5802542879085246,clone_id
74,Human 6,Human/Kymouse,Kymouse 1,0.41385783769946244,clone_id
75,Human 6,Human/Kymouse,Kymouse 2,0.5887874392012971,clone_id
76,Human 6,Human/Kymouse,Kymouse 3,0.7765167676422903,clone_id
77,Human 6,Human/Kymouse,Kymouse 4,0.5546548340302074,clone_id
78,Human 6,Human/Kymouse,Kymouse 5,0.40532468640668995,clone_id
79,Human 6,Human/Kymouse,Kymouse 6,0.729584435532042,clone_id
80,Human 6,Human/Kymouse,Kymouse 7,0.5461216827374349,clone_id
81,Human 7,Human/Human,Human 8,0.6295029473837421,clone_id
82,Human 7,Human/Human,Human 9,0.8078014700531257,clone_id
83,Human 7,Human/Human,Human 10,0.5821992576959465,clone_id
84,Human 7,Human/Kymouse,Kymouse 1,0.5931154937777455,clone_id
85,Human 7,Human/Kymouse,Kymouse 2,0.7423040535623318,clone_id
86,Human 7,Human/Kymouse,Kymouse 3,0.9970162288043084,clone_id
87,Human 7,Human/Kymouse,Kymouse 4,0.8114402154137254,clone_id
88,Human 7,Human/Kymouse,Kymouse 5,0.6295029473837421,clone_id
89,Human 7,Human/Kymouse,Kymouse 6,0.8769376319045193,clone_id
90,Human 7,Human/Kymouse,Kymouse 7,0.6840841277927371,clone_id
91,Human 8,Human/Human,Human 9,0.6527582234736977,clone_id
92,Human 8,Human/Human,Human 10,0.5969339302672636,clone_id
93,Human 8,Human/Kymouse,Kymouse 1,0.5661712668082095,clone_id
94,Human 8,Human/Kymouse,Kymouse 2,0.6367592474081658,clone_id
95,Human 8,Human/Kymouse,Kymouse 3,0.7871496224241649,clone_id
96,Human 8,Human/Kymouse,Kymouse 4,0.5823627287853578,clone_id
97,Human 8,Human/Kymouse,Kymouse 5,0.5656999641962048,clone_id
98,Human 8,Human/Kymouse,Kymouse 6,0.7199539229489312,clone_id
99,Human 8,Human/Kymouse,Kymouse 7,0.5727633431460387,clone_id
100,Human 9,Human/Human,Human 10,0.7631257631257631,clone_id
101,Human 9,Human/Kymouse,Kymouse 1,0.6900212314225054,clone_id
102,Human 9,Human/Kymouse,Kymouse 2,0.7724356050238725,clone_id
103,Human 9,Human/Kymouse,Kymouse 3,0.9670650488094151,clone_id
104,Human 9,Human/Kymouse,Kymouse 4,0.7146549889000395,clone_id
105,Human 9,Human/Kymouse,Kymouse 5,0.7268170426065164,clone_id
106,Human 9,Human/Kymouse,Kymouse 6,0.8697503269166438,clone_id
107,Human 9,Human/Kymouse,Kymouse 7,0.7298604141957851,clone_id
108,Human 10,Human/Kymouse,Kymouse 1,0.6086341118188252,clone_id
109,Human 10,Human/Kymouse,Kymouse 2,0.6851173517840184,clone_id
110,Human 10,Human/Kymouse,Kymouse 3,0.9768009768009768,clone_id
111,Human 10,Human/Kymouse,Kymouse 4,0.715642382309049,clone_id
112,Human 10,Human/Kymouse,Kymouse 5,0.619405656999642,clone_id
113,Human 10,Human/Kymouse,Kymouse 6,0.8173924840591507,clone_id
114,Human 10,Human/Kymouse,Kymouse 7,0.6512006512006512,clone_id
115,Kymouse 1,Kymouse/Kymouse,Kymouse 2,7.848549186128804,clone_id
116,Kymouse 1,Kymouse/Kymouse,Kymouse 3,11.13941967445152,clone_id
117,Kymouse 1,Kymouse/Kymouse,Kymouse 4,8.117480537862704,clone_id
118,Kymouse 1,Kymouse/Kymouse,Kymouse 5,6.541353383458646,clone_id
119,Kymouse 1,Kymouse/Kymouse,Kymouse 6,9.104741684359519,clone_id
120,Kymouse 1,Kymouse/Kymouse,Kymouse 7,8.096249115357395,clone_id
121,Kymouse 2,Kymouse/Kymouse,Kymouse 3,8.128416658383857,clone_id
122,Kymouse 2,Kymouse/Kymouse,Kymouse 4,6.163574304218449,clone_id
123,Kymouse 2,Kymouse/Kymouse,Kymouse 5,7.518796992481203,clone_id
124,Kymouse 2,Kymouse/Kymouse,Kymouse 6,6.818407712950999,clone_id
